Title,Author,price,pages,Rating,star5,star4,star3,star2,star1,language,publisher,ISBN,contents
Data Smart: Using Data Science to Transform Information into Insight,[ John W. Foreman],21.21,432,4.5,70%,16%,8%,4%,2%,English,"Wiley; 1st edition (November 12, 2013)",978-1118661468,"Chapter 1: Everything You Ever Needed to Know about Spreadsheets but Were Too Afraid to Ask
Chapter 2: Cluster Analysis Part I: Using K-Means to Segment Your Customer Base
Chapter 3: Naïve Bayes and the Incredible Lightness of Being an Idiot
Chapter 4: Optimization Modeling: Because That “Fresh Squeezed” Orange Juice Ain't Gonna Blend Itself
Chapter 5: Cluster Analysis Part II: Network Graphs and Community Detection
Chapter 6: The Granddaddy of Supervised Artificial Intelligence—Regression
Chapter 7: Ensemble Models: A Whole Lot of Bad Pizza
Chapter 8: Forecasting: Breathe Easy; You Can't Win
Chapter 9: The Next Frontier of Data Science: Unsupervised Learning, Hadoop, and Spark"
Exploratory Data Analysis,[ John Tukey],99.99,712,4.6,72%,18%,7%,3%,,English,"Pearson; 1st edition (January 1, 1977)",978-0201076165,"The Exploratory Data Analysis Process

What is exploratory data analysis?
How is EDA different from confirmatory data analysis?
The goals of EDA
The EDA process
Some general principles of EDA
2. Stem-and-Leaf Displays

What are stem-and-leaf displays?
How to create a stem-and-leaf display
Interpreting stem-and-leaf displays
3. Letter Values: A Set of Selected Order Statistics

What are letter values?
How to calculate letter values
Interpreting letter values
4. Boxplots and Batch Comparison

What are boxplots?
How to create a boxplot
Interpreting boxplots
Batch comparison
5. Transforming Data

Why transform data?
Different types of data transformations
How to transform data
Interpreting transformed data
6. Resistant Lines for y Versus x

What are resistant lines?
How to fit a resistant line
Interpreting resistant lines
7. Analysis of Two-Way Tables by Medians

What are two-way tables?
How to analyze two-way tables by medians
8. Examining Residuals

What are residuals?
How to examine residuals
Interpreting residuals
9. Mathematical Aspects of Transformation

The mathematical basis of data transformation
How to choose a data transformation
10. Introduction to More Refined Estimators

Estimators for the location of a distribution
Estimators for the scale of a distribution
11. Comparing Location Estimators: Trimmed Means, Medians, and Trimean

Trimmed means
Medians
Trimeans
12. M-Estimators of Location: An Outline of the Theory

What are M-estimators?
How to calculate M-estimators
Interpreting M-estimators
13. Robust Scale Estimators and Confidence Intervals for Location

Robust scale estimators
Confidence intervals for location
14. Additional Tools

Other stem-and-leaf displays
Other letter values
Other boxplots
Other resistant lines
Other methods for analyzing two-way tables
Other methods for examining residuals
Other transformations
15. Appendix

A note on the history of EDA
Selected bibliography on EDA
Glossary of terms"
Data Cartels: The Companies That Control and Monopolize Our Information,[ Sarah Lamdan],26,224,,,,,,,English,"Stanford University Press; 1st edition (November 8, 2022)",978-1503633711,"Introduction

Chapter 1: What Is a Data Cartel?

What is a cartel?
How do data cartels operate?
The harms of data cartels
Chapter 2: The Rise of the Data Cartels

The role of the government in the rise of data cartels
The role of big tech companies in the rise of data cartels
Chapter 3: The Data Cartels' Hold on Our Information

How data cartels collect our data
How data cartels use our data
The ways in which data cartels control our information
Chapter 4: The Harms of Data Cartels

The economic harms of data cartels
The social harms of data cartels
The political harms of data cartels
Chapter 5: How to Fight Back Against Data Cartels

What we can do to protect our privacy from data cartels
What we can do to break up the data cartels
What we can do to build a fairer and more democratic data economy
Conclusion

Appendix

Glossary of terms
Resources"
Business Analytics: Data Analysis & Decision Making - Standalone book,"[ S. Christian Albright,  and , Wayne L. Winston]",93.15,984,4.4,72%,14%,5%,3%,7%,English,"Cengage Learning; 6th edition (April 27, 2016)",978-1305947542,"Part 1: Introduction to Business Analytics

Chapter 1: What is Business Analytics?
Chapter 2: The Business Analytics Process
Chapter 3: Data Types and Data Structures
Chapter 4: Data Management and Preparation
Chapter 5: Data Visualization
Part 2: Descriptive Business Analytics

Chapter 6: Descriptive Statistics
Chapter 7: Cross-Tabulation and Correlation
Chapter 8: Time Series Analysis
Part 3: Predictive Business Analytics

Chapter 9: Regression Analysis
Chapter 10: Classification and Clustering
Chapter 11: Forecasting
Part 4: Prescriptive Business Analytics

Chapter 12: Optimization
Chapter 13: Simulation
Chapter 14: Decision Support Systems
Part 5: Business Analytics Applications

Chapter 15: Marketing Analytics
Chapter 16: Finance Analytics
Chapter 17: Operations Analytics
Chapter 18: Human Resource Analytics
Appendix

Data Analysis Tools and Resources
Glossary of Terms"
Python for Data Analysis: Learn the Principles of Data Analysis and Raise Your Programming Iq. Improve Your Machine Learning Experience and Become a Skilled Programmer by Learning 10+ Coding Secrets,[ Robert Campbell],33.99,74,1,100%,,,,,English,"Robert Campbell (October 16, 2022)",978-1803064420,"Introduction

What is Python?
Why use Python for data analysis?
Getting started with Python
Part I: Data Types and Data Structures

Chapter 1: Python Variables and Data Types
Chapter 2: Python Lists and Tuples
Chapter 3: Python Dictionaries and Sets
Part II: Data Manipulation and Analysis

Chapter 4: Data Manipulation with NumPy
Chapter 5: Data Analysis with Pandas
Chapter 6: Data Visualization with Matplotlib
Part III: Machine Learning

Chapter 7: Introduction to Machine Learning
Chapter 8: Supervised Learning with scikit-learn
Chapter 9: Unsupervised Learning with scikit-learn
Part IV: Coding Secrets

Chapter 10: Python Functions
Chapter 11: Python Classes
Chapter 12: Python Modules
Chapter 13: Python Performance Optimization
Chapter 14: Python Best Practices
Conclusion

The Future of Python for Data Analysis
Appendix

Python Crash Course
NumPy Tutorial
Pandas Tutorial
Matplotlib Tutorial
Scikit-learn Tutorial"
"Data Analysis & Probability: A Quickstudy Laminated Reference Guide (Math Fundamentals, 4)","[ Peggy Warren, Susan Wright, et al.]",6.11,6,5,100%,,,,,English,"Quickstudy; Updated edition (November 1, 2021)",978-1423247272,"Part I: Data Analysis

Ways to Collect Data
Populations & Samples
Types of Samples
Random Sample
Convenience Sample
Stratified Sample
Cluster Sample
Systematic Sample
Snowball Sample
Measures of Central Tendency
Mean
Median
Mode
Measures of Spread
Range
Interquartile Range (IQR)
Variance
Standard Deviation
When to use Measures of Center & Spread
Symmetric Distribution (also called Normal Distribution)
Negatively Skewed Distribution (also called Left Skewed Distribution)
Positively Skewed Distribution (also called Right Skewed Distribution)
Part II: Probability

Definitions
Basic Probability Rules
Addition Rule
Multiplication Rule
Conditional Probability
Independent Events
Dependent Events
Bayes' Theorem
Part III: Statistical Tests

Hypothesis Testing
One-Sample t-Test
Two-Sample t-Test
Chi-Squared Test
ANOVA Test
Linear Regression
Correlation
Part IV: Data Displays

Pictograph
Frequency Table
Tally Marks
Histogram
Bar Chart
Pie Chart
Line Graph
Scatter Plot
Part V: Interpretation of Graphs

Ways to Prevent Misinterpretation of Graphs
Graphing Data
Checklist for Making Graphs"
"Excel 2022: Learn From Scratch with the Most Update Guide on Microsoft Excel Plus Step by Step Tutorial, Features and Formulas. 7 Minutes Crash Course Included",[ Robert Johnson],19.24,161,4.8,93%,3%,1%,3%,,English,"Independently published (October 6, 2022)",979-8356241734,"Introduction

What is and how to use Microsoft Excel
How to navigate the worksheet
Creating an Excel template
Formulas and Functions

Essential math functions
Logical functions
Text functions
Lookup functions
Date and time functions
Financial functions
Statistical functions
Pivot tables

What are pivot tables?
How to create a pivot table
How to use pivot table filters
How to format pivot tables
Data analysis

How to sort and filter data
How to create charts and graphs
How to use data validation
How to use conditional formatting
Advanced Excel skills

How to use macros
How to create custom functions
How to work with workbooks and worksheets
How to share and collaborate on Excel files
7 Minutes Crash Course

The basics of Excel
Creating a simple spreadsheet
Using formulas and functions
Creating charts and graphs
Pivot tables and data analysis"
Learn Selenium: Build data-driven test frameworks for mobile and web applications with Selenium Web Driver 3,"[ Unmesh Gundecha,  and , Carl Cocchiaro]",49.99,536,4.4,50%,39%,11%,,,English,"Packt Publishing (July 18, 2019)",978-1838983048,"1 Introduction to Selenium

What is Selenium?
Why use Selenium for test automation?
The Selenium family of tools
Getting started with Selenium WebDriver
2 Core Selenium WebDriver API

Locating elements on a web page
Interacting with web elements
Waiting for elements to load
Navigating between pages
Handling alerts and popups
3 Data-Driven Testing with Selenium

What is data-driven testing?
Benefits of data-driven testing
Implementing data-driven testing with Selenium
4 Building a Test Framework

What is a test framework?
Benefits of using a test framework
Designing and building a test framework with Selenium
5 Testing Mobile Applications with Selenium

Introduction to mobile testing
Testing Android applications with Selenium
Testing iOS applications with Selenium
6 Advanced Selenium Concepts

Parallel testing with Selenium
Selenium Grid
Page Object Model
TestNG
ExtentReports
7 Case Studies

Testing a web application with Selenium
Testing a mobile application with Selenium
Appendix

Selenium WebDriver Commands
Selenium WebDriver Locators
Selenium WebDriver Waits
Selenium WebDriver Selectors"
Hands-On Graph Analytics with Neo4j: Perform graph processing and visualization techniques using connected data across your enterprise,[ Estelle Scifo],44.99,510,4.1,48%,28%,17%,7%,,English,"Packt Publishing (August 21, 2020)",978-1839212611,"Chapter 1: Introduction to Graph Analytics with Neo4j

What is graph analytics?
Why is graph analytics important?
What is Neo4j?
Getting started with Neo4j
Chapter 2: Basic Graph Concepts and Queries

What are graphs?
Different types of graphs
Graph queries with Neo4j Cypher
Chapter 3: Graph Analysis Techniques

Centrality measures
Community detection
Link analysis
Pathfinding
Chapter 4: Graph Processing with Neo4j

Neo4j algorithms
Neo4j procedures
Neo4j APOC library
Chapter 5: Graph Visualization with Neo4j

Neo4j Browser
Neo4j Bloom
Neo4j GraphGist
Chapter 6: Graph Analytics Use Cases

Fraud detection
Recommendation engines
Social network analysis
Knowledge graphs
Chapter 7: Advanced Graph Analytics

Graph machine learning
Graph temporal analysis
Graph spatial analysis
Appendix

Cypher cheat sheet
Neo4j procedures list
Neo4j APOC library functions"
Recovering Black Storytelling in Qualitative Research (Futures of Data Analysis in Qualitative Research),,37.8,192,4.6,84%,8%,8%,,,English,"Routledge; 1st edition (November 19, 2021)",978-0367747336,"Chapter 1: Exploring Womanism: Finding the Othermothers, entering the harbor
Chapter 2: Expanding the Literature: Speculative maps, activated dreams
Chapter 3: Introducing the Research Partners: Black girls and their world
Chapter 4: Research Partner Stories: Bailey
Chapter 5: Research Partner Stories: Victoria
Chapter 6: Research Partner Stories: Imani
Chapter 7: Research Partner Stories: Keisha
Chapter 8: Research Partner Stories: Aaliyah
Chapter 9: Research Partner Stories: Briana
Chapter 10: Research Partner Stories: Destiny
Chapter 11: Conclusion: Endarkened Storywork: Toward a Black Feminist Future of Data Analysis in Qualitative Research"
Python for Beginners: The Biggest Python Programming Crash Course for Beginners | Learn Python Coding Like a PRO in 7 Days! + Hands-On Workbook,[ PROGRAMMING LANGUAGES ACADEMY],17.95,205,4.4,63%,22%,7%,3%,4%,English,"Independently published (January 2, 2020)",978-1654414016,"Day 1

Introduction to Python
Variables and data types
Operators and expressions
Control flow
Functions
Day 2

Object-oriented programming
Modules and packages
Strings
Regular expressions
Day 3

Lists
Dictionaries
Sets
Files and I/O
Day 4

Exceptions
Error handling
Unit testing
Day 5

NumPy
Pandas
Matplotlib
Day 6

Web development with Python
Django
Flask
Day 7

Machine learning with Python
TensorFlow
PyTorch"
"Python for ArcGIS Pro: Automate cartography and data analysis using ArcPy, ArcGIS API for Python, Notebooks, and pandas","[ Silas Toms, Bill Parker, et al.]",59.84,586,4.7,83%,10%,4%,3%,,English,"Packt Publishing (April 29, 2022)",978-1803241661,"Introduction

What is Python?
Why use Python for GIS?
Getting started with Python and ArcGIS Pro
ArcPy

Introducing ArcPy
Working with spatial data in ArcPy
Geoprocessing with ArcPy
Automating tasks with ArcPy
ArcGIS API for Python

Introducing the ArcGIS API for Python
Working with maps and layers in the ArcGIS API for Python
Geoprocessing with the ArcGIS API for Python
Automating tasks with the ArcGIS API for Python
Notebooks

Introducing Notebooks in ArcGIS Pro
Using Python in Notebooks
Combining Python with ArcGIS tools in Notebooks
pandas

Introducing pandas
Working with data frames in pandas
Analyzing data with pandas
Visualizing data with pandas
Case Studies

Automating map production with Python
Managing data between ArcGIS Pro and ArcGIS Online with Python
Creating custom script tools with Python
Performing data analysis and visualization with Python"
Field Guide to Optomechanical Design and Analysis (Spie Field Guides),"[ Burge, James H., et al.]",42,168,4.4,60%,19%,21%,,,English,"SPIE--The International Society for Optical Engineering; Spi edition (August 1, 2012)",978-0819491619,"Glossary of Symbols and Acronyms
Introduction
Mounting Optical Components
Stress, Strain, and Material Strength
Precision Positioning
Precision Fastening and Adjustments
Mechanisms
Optomechanical Considerations for Optical Systems
Optomechanical Design of Common Optical Systems
Alignment and Testing
Material Properties
Tolerancing Optics and Machined Parts
Appendix A: SI Units
Appendix B: References
Appendix C: Index"
Practical Data Analysis Using Jupyter Notebook: Learn how to speak the language of data by extracting useful and actionable insights using Python,"[ Marc Wintjen,  and , Andrew Vlahutin]",34.99,322,4,56%,16%,7%,10%,11%,English,"Packt Publishing (June 19, 2020)",978-1838826031,"Chapter 1: Introduction to Data Analysis

What is data analysis?
Why is data analysis important?
Types of data analysis
The data analysis process
Getting started with Jupyter Notebook
Chapter 2: Python for Data Analysis

Python basics
NumPy
Pandas
Matplotlib
Chapter 3: Data Cleaning and Wrangling

Missing values
Outliers
Duplicate data
Data types
Merging datasets
Chapter 4: Exploratory Data Analysis

Data visualization
Descriptive statistics
Correlation and regression
Chapter 5: Predictive Modeling

Linear regression
Logistic regression
Decision trees
Random forests
Chapter 6: Case Studies

Customer segmentation
Fraud detection
Product recommendation
Appendix

Python cheat sheet
NumPy cheat sheet
Pandas cheat sheet
Matplotlib cheat sheet"
Introduction to Statistics and Data Analysis,"[ Roxy Peck, Chris Olsen, et al.]",15.1,944,4.5,69%,14%,12%,3%,1%,English,"Brooks Cole; 5th edition (January 1, 2015)",978-1305267244,"Part I: Introducing Statistics

Chapter 1: The Role of Statistics and the Data Analysis Process
Chapter 2: Types of Data and Some Simple Graphical Displays
Chapter 3: Organizing and Summarizing Data: Measures of Central Tendency and Variability
Chapter 4: Understanding Probability
Part II: Inferential Statistics

Chapter 5: Sampling Distributions and the Central Limit Theorem
Chapter 6: Hypothesis Testing
Chapter 7: One-Sample Inferences
Chapter 8: Two-Sample Inferences
Chapter 9: Chi-Square Tests
Chapter 10: Analysis of Variance
Chapter 11: Simple Linear Regression
Part III: Other Statistical Techniques

Chapter 12: Multiple Regression
Chapter 13: Nonparametric Statistics
Chapter 14: Time Series Analysis"
Data and Analytics Strategy for Business: Unlock Data Assets and Increase Innovation with a Results-Driven Data Strategy,[ Simon Asplen-Taylor],34.99,328,4.6,62%,38%,,,,English,"Kogan Page; 1st edition (June 28, 2022)",978-1398606050,"Introduction

What is data and analytics strategy?
Why is data and analytics strategy important?
The five waves of data maturity
Benefits of a data and analytics strategy
Wave 1: Foundations

Data governance
Data architecture
Data quality
Data security
Wave 2: Descriptive analytics

Data visualization
Data reporting
Dashboards
Wave 3: Diagnostic analytics

Data mining
Machine learning
Predictive analytics
Wave 4: Prescriptive analytics

Optimization
Simulation
Decision automation
Wave 5: Autonomous analytics

Artificial intelligence
Cognitive computing
Self-learning systems
Implementing a data and analytics strategy

Building a data and analytics team
Developing a data and analytics roadmap
Communicating the data and analytics strategy to the organization
Case studies

How companies are using data and analytics to achieve success
Conclusion

The future of data and analytics"
POWER BI FOR BEGINNERS 2022: A SIMPLE AND DIRECT GUIDE TO DATA ANALYSIS USING POWER BI,[ RICHARD STEVE],9.99,49,4.4,53%,30%,17%,,,English,"Independently published (April 30, 2022)",979-8814257475,"Introduction

What is Power BI?
Why use Power BI?
Features of Power BI
Benefits of Power BI
Getting started with Power BI
Data Modeling and Preparation

Connecting to data sources
Importing and transforming data
Creating data models
Working with measures and dimensions
Data Visualization

Creating reports
Using visuals
Creating dashboards
Sharing reports and dashboards
Analyzing Data

Using DAX to calculate measures
Creating calculated columns and tables
Creating relationships between tables
Filtering and sorting data
Advanced Features

Using R and Python in Power BI
Creating custom visuals
Publishing reports to the Power BI service
Case Studies

Using Power BI for sales analysis
Using Power BI for marketing analysis
Using Power BI for financial analysis
Conclusion

The future of Power BI"
"Memory Dump Analysis Anthology, Volume 3, Revised Edition (Memory Dump Analysis Anthology (Diagnomicon))","[ Dmitry Vostokov,  and , Software Diagnostics Institute]",40,396,,,,,,,English,"Opentask (December 25, 2021)",978-1912636235,"Part I: Crash Dump Analysis Patterns

Chapter 1: Crash Dump Analysis Pattern Library
Chapter 2: Crash Dump Analysis Case Studies
Part II: Trace and Log Analysis Patterns

Chapter 3: Trace Analysis Pattern Library
Chapter 4: Log Analysis Pattern Library
Chapter 5: Trace and Log Analysis Case Studies
Part III: Appendices

Appendix A: Memory Dump Analysis Tools
Appendix B: WinDbg Quick Reference
Appendix C: Crash Dump Analysis Glossary"
Analysis of Economic Data,[ Gary Koop],62.78,272,4,66%,18%,16%,,,English,"Wiley; 4th edition (September 23, 2013)",978-1118472538,"Chapter 1: Introduction

1.1 What is Economic Data?
1.2 The Data Analysis Process
1.3 The Role of Statistical Software
1.4 Summary and Key Concepts
Chapter 2: Descriptive Statistics

2.1 Types of Data
2.2 Measures of Central Location
2.3 Measures of Dispersion
2.4 Graphical Displays
2.5 Summary and Key Concepts
Chapter 3: Probability Distributions

3.1 Basic Concepts of Probability
3.2 Discrete Probability Distributions
3.3 Continuous Probability Distributions
3.4 Joint Probability Distributions
3.5 Summary and Key Concepts
Chapter 4: Statistical Inference

4.1 Sampling Distributions
4.2 Point Estimation
4.3 Interval Estimation
4.4 Hypothesis Testing
4.5 Summary and Key Concepts
Chapter 5: Linear Regression

5.1 The Simple Linear Regression Model
5.2 Estimation and Inference in the Simple Linear Regression Model
5.3 Multiple Linear Regression Models
5.4 Summary and Key Concepts
Chapter 6: Time Series Analysis

6.1 Introduction to Time Series Analysis
6.2 ARIMA Models
6.3 Seasonal Models
6.4 Forecasting
6.5 Summary and Key Concepts
Chapter 7: Applied Econometrics

7.1 The Production Function
7.2 The Cost Function
7.3 The Demand Function
7.4 Consumer Choice
7.5 Summary and Key Concepts
Chapter 8: Case Studies

8.1 The Relationship Between Education and Earnings
8.2 The Impact of Monetary Policy on Inflation
8.3 The Effects of Trade on Economic Growth
8.4 Summary and Key Concepts
Appendix: Mathematical Concepts

A.1 Mathematical Notation
A.2 Differentiation
A.3 Integration
A.4 Matrix Algebra
A.5 Summary and Key Concepts"
Spreadsheet Modeling and Decision Analysis: A Practical Introduction to Business Analytics (MindTap Course List),[ Cliff Ragsdale],153.5,864,4.4,38%,62%,,,,English,"Cengage Learning; 9th edition (September 28, 2021)",978-0357132098,"Part I: Introduction to Spreadsheet Modeling

Chapter 1: The Power of Spreadsheet Modeling
Chapter 2: Building Your First Spreadsheet Model
Chapter 3: Using Formulas and Functions
Chapter 4: Formatting and Charting Your Model
Chapter 5: Auditing and Validating Your Model
Part II: Making Decisions with Spreadsheet Models

Chapter 6: Decision Analysis Concepts
Chapter 7: Decision Modeling with Spreadsheets
Chapter 8: Sensitivity Analysis and Scenario Planning
Chapter 9: Optimization Modeling with Spreadsheets
Chapter 10: Risk Analysis with Spreadsheets
Part III: Advanced Spreadsheet Modeling Techniques

Chapter 11: Data Tables and PivotTables
Chapter 12: Macros and VBA
Chapter 13: Advanced Charting Techniques
Chapter 14: Model Management and Collaboration
Part IV: Case Studies

Case Study 1: Financial Planning and Analysis
Case Study 2: Marketing Mix Optimization
Case Study 3: Supply Chain Management
Case Study 4: Human Resource Planning"
Probability and Computing: Randomization and Probabilistic Techniques in Algorithms and Data Analysis,"[ Michael Mitzenmacher,  and , Eli Upfal]",73.98,484,4.5,70%,17%,4%,9%,,English,"Cambridge University Press; 2nd edition (July 3, 2017)",978-1107154889,"Part 1: Foundations

Chapter 1: Probability
Chapter 2: Random Variables and Expectation
Chapter 3: Moments and Deviations
Chapter 4: Chernoff and Hoeffding Bounds
Chapter 5: Balls, Bins, and Random Graphs
Chapter 6: The Probabilistic Method
Part 2: Markov Chains and Random Walks

Chapter 7: Markov Chains
Chapter 8: Random Walks
Chapter 9: Stationary Distributions
Chapter 10: Mixing Times
Part 3: Continuous Probability

Chapter 11: Continuous Random Variables
Chapter 12: Normal and Exponential Distributions
Chapter 13: Limit Theorems
Part 4: Advanced Topics

Chapter 14: Applications of Limited Independence
Chapter 15: Entropy, Information, and Coding
Chapter 16: Markov Chain Monte Carlo Methods
Chapter 17: Coupling of Markov Chains
Chapter 18: Martingales
Part 5: Case Studies

Chapter 19: Network Routing
Chapter 20: Randomized Load Balancing
Chapter 21: Data Structures and Algorithms
Chapter 22: Machine Learning"
The Algorithm Design Manual (Texts in Computer Science),,73.99,810,4.5,75%,10%,7%,3%,4%,English,"Springer; 3rd ed. 2020 edition (October 6, 2020)",978-3030542559,"Part I: Practical Algorithm Design

Chapter 1: Introduction to Algorithm Design
Chapter 2: Algorithm Analysis
Chapter 3: Data Structures
Chapter 4: Sorting
Chapter 5: Divide-and-Conquer
Chapter 6: Greedy Algorithms
Chapter 7: Dynamic Programming
Chapter 8: Graph Algorithms
Chapter 9: String Algorithms
Chapter 10: Computational Geometry
Chapter 11: Number Theory
Chapter 12: Randomized Algorithms
Part II: The Hitchhiker's Guide to Algorithms

Chapter 13: A Catalog of Algorithmic Problems
Chapter 14: Data Structures
Chapter 15: Numerical Problems
Chapter 16: Combinatorial Problems
Chapter 17: Graph Problems
Chapter 18: String Problems
Chapter 19: Geometric Problems
Chapter 20: Number Theoretic Problems
Chapter 21: Randomized Problems
Chapter 22: Parallel Algorithms
Back Matter

Bibliography
Index"
"Data Structures and Algorithm Analysis in C++, Third Edition (Dover Books on Computer Science)",,35.95,624,4.3,62%,17%,9%,12%,,English,"Dover Publications; Third edition (September 14, 2011)",978-0486485829,"Preface

Acknowledgments
About the Author
Part I: Preliminaries

Chapter 1: Data Structures and Algorithms
Chapter 2: Mathematical Preliminaries
Part II: Data Structures

Chapter 3: Lists, Stacks, and Queues
Chapter 4: Arrays and Linked Lists
Chapter 5: Binary Search Trees
Chapter 6: Hashing
Chapter 7: Heaps
Chapter 8: Balanced Search Trees
Chapter 9: Graphs
Part III: Algorithm Analysis

Chapter 10: Algorithm Analysis
Chapter 11: Asymptotic Analysis
Chapter 12: Amortized Analysis
Part IV: Advanced Data Structures and Algorithms

Chapter 13: Fibonacci Heaps
Chapter 14: Splay Trees
Chapter 15: Disjoint-Set Forests
Chapter 16: AVL Trees and Red-Black Trees
Chapter 17: B-Trees
Chapter 18: Advanced Graph Algorithms
Part V: Case Studies

Chapter 19: Sorting
Chapter 20: Searching
Chapter 21: Graph Traversal
Chapter 22: String Searching
Chapter 23: Dynamic Programming
Appendix A: Program Style and Documentation

Appendix B: The Standard Template Library (STL)"
"Learning the Pandas Library: Python Tools for Data Munging, Analysis, and Visual",,19.99,212,4.2,57%,24%,7%,5%,7%,English,"CreateSpace Independent Publishing Platform; 1st edition (June 1, 2016)",978-1533598240,"Chapter 1: Installation

Installing pandas
Importing pandas
Chapter 2: Data Structures

Series
DataFrames
Chapter 3: Series CRUD

Creating Series
Indexing Series
Reading and writing Series
Deleting Series
Chapter 4: Series Methods

Descriptive statistics
String manipulation
Datetime manipulation
Data munging
Chapter 5: Series Plotting

Plotting Series
Customizing plots
Chapter 6: DataFrames

Creating DataFrames
Importing and exporting DataFrames
Indexing DataFrames
Chapter 7: DataFrame Methods

Descriptive statistics
Data munging
Grouping and aggregation
Merging DataFrames
Chapter 8: DataFrame Plotting

Plotting DataFrames
Customizing plots
Chapter 9: Dealing with Missing Data

Identifying missing data
Handling missing data
Chapter 10: Joining DataFrames

Merge
Join
Concat
Chapter 11: Time Series Analysis

Plotting time series data
Time series decomposition
Seasonality and trend analysis
Chapter 12: Visualization

Matplotlib
Seaborn
Plotly
Chapter 13: Performance

Profiling code
Optimizing code
Chapter 14: Case Study

Real-world example of using pandas
Appendix

Answers to exercises
Pandas syntax reference
Matplotlib syntax reference
Seaborn syntax reference"
Data Analysis with Open Source Tools: A Hands-On Guide for Programmers and Data Scientists,[ Philipp K. Janert],39.99,540,4.3,62%,20%,7%,7%,4%,English,"O'Reilly Media; 1st edition (December 14, 2010)",978-0596802356,"Chapter 1: Introduction to Data Analysis

What is data analysis?
Why is data analysis important?
The data analysis process
Open source tools for data analysis
Chapter 2: Data Preparation

Data collection
Data cleaning and transformation
Data integration
Data visualization
Chapter 3: Descriptive Statistics

Measures of central tendency
Measures of variability
Correlation and regression
Chapter 4: Inferential Statistics

Hypothesis testing
Confidence intervals
Regression analysis
Chapter 5: Data Mining

Association rule mining
Classification
Clustering
Chapter 6: Predictive Analytics

Linear regression
Logistic regression
Decision trees
Support vector machines
Neural networks
Chapter 7: Data Communication

Data visualization
Reporting
Dashboards
Chapter 8: Case Studies

Customer segmentation
Fraud detection
Product recommendation
Risk assessment
Chapter 9: Conclusion

The future of data analysis
Resources for further learning
Appendix A: Python Crash Course

Appendix B: R Crash Course

Appendix C: SQL Crash Course"
The Art of Data Analysis: How to Answer Almost Any Question Using Basic Statistics,[ Kristin H. Jarman],63.52,192,4.7,77%,16%,7%,,,English,"Wiley; 1st edition (May 13, 2013)",978-1118411315,"Part 1: The Basics

Introduction to Data Analysis
Descriptive Statistics
Probability and Sample Distributions
Confidence Intervals
Hypothesis Testing
Part 2: What a Few Estimates and a Little Probability Can Do for You

Regression
Statistical Correlation
Data Collection
Statistical Analysis with Graphs
Case Studies in Data Analysis
Appendix

A. Statistical Tables
B. Answers to Selected Exercises"
Putting FACES on the Data: What Great Leaders and Teachers Do!,"[ Lyn D. Sharratt,  and , Michael Fullan]",40,376,,,,,,,English,"Corwin; New 10th Anniversary edition (September 9, 2022)",978-1071855102,"Chapter 1: From Information Glut to Well-Known FACES

Introduction
Toward Well-Known FACES
How the 14 Parameters Came to Be
Integrating New Pedagogies for Deep Learning (NPDL)
Self-Assessing Against the 14 Parameters
Practice Aligns in Systems and Schools
A System Case Study
Chapter 2: The Power of Putting FACES on the Data

Genesis of the Dialogue With Educators
When and How We Asked the Research Questions
Research Findings: Question 1
Clustering the Parameters
Why Do We Put FACES on the Data?
How Do We Drill Down to Find ""the Lovely Apparition""?
To Be, or Not to Be (Good): That Is the Question
FACES in Secondary School
MACS Case Study: Evidence-Proven IMPACT!
Evidence of Improvement
Chapter 3: Making It Work in Practice

Putting FACES on the Data: A Journey
FACES in Action
FACES in the Classroom
FACES in the School
FACES in the System
FACES and the Collaborative Professional
Chapter 4: Leading Change: Next Steps for Systems

The Importance of Leadership
FACES and System Change
FACES and the Learning Culture
FACES and the Power of Inquiry
FACES and the Role of Technology
FACES and the Power of Communication
FACES and the Power of Partnerships
Chapter 5: Conclusion

Putting FACES on the Data: A Summary
The Importance of FACES for the Future"
Malware Analysis and Detection Engineering: A Comprehensive Approach to Detect and Analyze Modern Malware,"[ Abhijit Mohanta,  and , Anoop Saldanha]",68.86,948,4.7,82%,12%,4%,2%,,English,"Apress; 1st ed. edition (September 23, 2020)",978-1484261927,"Part I. Introduction

Chapter 1. Introduction
Chapter 2. Malware Analysis Lab Setup
Part II. OS and System Fundamentals

Chapter 3. Files and File Formats
Chapter 4. Virtual Memory and the Portable Executable (PE) File
Chapter 5. Windows Internals
Part III. Malware Components and Analysis

Chapter 6. Malware Components and Distribution
Chapter 7. Malware Packers
Chapter 8. Persistence Mechanisms
Part IV. Malware Analysis and Classification

Chapter 9. Static Analysis
Chapter 10. Dynamic Analysis
Part V. Malware Reverse Engineering

Chapter 11. Debuggers and Assembly Language
Chapter 12. Debugging Tricks for Unpacking Malware
Part VI. Detection Engineering

Chapter 13. Dev Analysis Lab Setup
Chapter 14. Antivirus Engines
Chapter 15. Sandboxes
Chapter 16. Network Intrusion Detection Systems (NIDS)/Intrusion Prevention Systems (IPS)
Chapter 17. Threat Intelligence Feeds and Hunting
Appendix A. Installing and Configuring Tools

Appendix B. Writing Snort Rules

Appendix C. Resources"
